front,front_description,back,back_description
"Siapa nama anda?","What is your name?","Saya bernama Charlie","I am named Charlie"
"Apa kabar?","How are you?","Baik terima kasih","good thank you"
"Berapa umurmu?","How old are you?","Saya berumur lima belas tahun","I am the age of 15 (years)"
"Di mana kamu tinggal?","Where do you live?","Saya tinggal di Melbourne","I live at Melbourne"
"Naik apa anda ke sekolah?","How do you get to school?","Saya naik mobil","I travel by car"
"Di mana sekolah Anda?","Where is your school?","Sekolah saya terletak di Donvale","My school is located in Donvale"
"Berapa orang dalam keluarga anda?","How many people are in your family?","Ada lima orang dalam keluarga saya,","There are five people in my family"
"Anda tinggal bersama siapa?","Who do you live with?","Saya tinggal Bersama, ibu, bapak, “2” adik, “female,male”","I live with, mother, father, “2” younger siblings, “female,male”"
"Siapa nama ibu dan bapak Anda?","What is the names of your mother and father?","Nama ibu saya ... dan nama bapak ...","My mothers name is ... and my fathers name is ..."
"Siapa nama kakak/adik?","What are the names of your siblings","Adik perempuan saya ... Adik laki-laki saya ...","My younger female siblings name is ... My younger male siblings name is ..."
"Berapa umur kakak/adik?","How old is your younger sibling(s)","Adik laki-laki saya berumur Sembilan tahun. Adik perempuan saya berumur dua belas tahun","My younger male sibling is nine years old. My younger female sibling is twelve years old."
"Anda pergi ke mana pada hari Sabtu dan hari Minggu?","You go where on Saturday and Sunday?","Not provided","Not provided"
"Apa nama teman Anda?","What is your friends name?","Teman saya Bernama...","my friends name is..."
"Anda belajar apa saja?","What do you study?","Saya belajar bahasa Inggris. Saya suka behasa Inggris","I study english, i like english"
"Ada binatang peliharaan di rumah?","Are there any pets at home?","Saya punya satu anjing","I have one dog"
